Company Name,Exchange:Ticker,Industry Group,Bottom up Beta for sector,Bottom up levered beta,Market Cap (in US $),Total Debt,Cash,Cash/ Firm Value,Book Debt to capital ratio,Market Debt to capital ratio,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,Interest coverage ratio,Current PE,PEG,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,Return on Equity,Return on Capital (ROC or ROIC),Net Profit Margin,Pre-tax Operating Margin,Effective Tax Rate,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income
Ginger Oil AB (OM:GOIL),OM:GOIL,Oil/Gas (Production and Exploration),0.7389,1.2104,"USD 4,31","USD 2,75","USD 0,92",13.06,27.81,38.95,38.52,63.81,"USD 2,26",6.3,5.48,150,0,0,0,2.06,0,16.82,0.68,2.94,0,0,0,-4.81,-3.63,0,0,-10.52,-2.75,-31.98,-10.41,0,"-USD 3,23","-USD 0,69","-USD 0,34","-USD 0,23","USD 2,09","USD 2,17","USD 0,37","-USD 0,16","-USD 0,23","USD 0,60","USD 0,14","USD 1,55",0,"-USD 1,92","-USD 2,98","-USD 2,38","USD 6,60","USD 8,21","USD 7,14","USD 8,97","USD 0,00",4.48,0.45,0.5,0.13,0.12,"-USD 1,19","-USD 1,15"
Accelerator Nordic AB (OM:ACCE),OM:ACCE,Biotechnology,1.0292,1.0639,"USD 3,83","USD 0,13","USD 4,18",105.58,1.23,3.26,1.24,3.37,"USD 0,35",-0.2,7.75,0,0,0,0,1.62,0,0,-0.03,-0.09,0,0,0,-8.48,4.04,0,0,-8.53,-27.48,-47.77,-120.11,0,"-USD 1,01","-USD 0,88","-USD 2,21","-USD 2,21","USD 2,37","USD 1,84","-USD 2,32","-USD 2,30","-USD 2,21","-USD 0,01","-USD 0,08","USD 4,27",0,"-USD 6,40","-USD 5,06","-USD 5,07","USD 10,30","USD 8,04","USD 10,40","USD 6,35","USD 0,00",-0.51,0.73,0.5,0.05,0.05,"-USD 1,47","-USD 1,19"
Lucent Oil AB (OM:LUCE),OM:LUCE,Environmental & Waste Services,0.8585,0.9406,"USD 1,16","USD 0,11","USD 0,16",12.27,8.73,8.73,9.57,9.57,"USD 0,55",-1.29,5.48,0,0,0,0,0.78,0,0,1,0.75,13.52,0,0,-3.22,5.78,0,0,-31.68,-50.66,-42.55,-45.04,0,"-USD 0,47","-USD 0,58","-USD 0,62","-USD 0,62","USD 1,49","USD 1,37","-USD 0,29","-USD 0,59","-USD 0,62","USD 0,00","USD 0,00","-USD 0,13",0,"-USD 0,49","-USD 0,46","-USD 0,46","USD 1,84","USD 1,22","USD 1,16","USD 1,12","-USD 0,16",-0.49,-0.96,0.5,0,0,0,0
Net Gaming Europe AB (publ) (OM:NETG),OM:NETG,Hotel/Gaming,0.7409,0.7409,"USD 1,70","USD 0,00","USD 0,77",45.41,0,0,0,0,"USD 0,03",1.27,7.75,0,0,0,0,0.73,0,0,0.74,0.4,0,0,0,-15.8,0,0,0,-60.28,-61.18,-61.33,-58.71,0,"-USD 0,27","-USD 0,56","-USD 0,54","-USD 0,54","USD 2,33","USD 0,92","-USD 0,24","-USD 0,53","-USD 0,54","USD 0,00","-USD 0,09","USD 0,00",0,"-USD 0,45","-USD 0,47","-USD 0,47","USD 0,93","USD 0,88","USD 2,02","USD 1,25","USD 0,00",0,0.46,0.5,0,0,0,0
Parans Solar Lighting AB (publ) (OM:PARA),OM:PARA,Electrical Equipment,0.9813,0.9813,"USD 3,05","USD 0,00","USD 0,12",3.8,0,0,0,0,"USD 0,27",2.18,10.95,150,0,0,0,3.15,0,0,49.73,3.03,0,0,0,39.5,0,0,0,-487.6,-620,-72.04,-71.92,0,"-USD 0,57","-USD 0,59","-USD 0,59","-USD 0,59","USD 0,97","USD 0,82","-USD 0,55","-USD 0,58","-USD 0,59","USD 0,00","USD 0,00","-USD 0,12",0,"-USD 0,47","-USD 0,47","-USD 0,47","USD 0,12","USD 0,10","USD 0,18","USD 0,06","USD 0,00",1,1.28,0.5,0,0,0,0
Cefour Wine & Beverage Partihandel AB (publ) (OM:CEFO B),OM:CEFO B,Beverage (Alcoholic),0.7142,0.7239,"USD 3,45","USD 0,05","USD 0,02",0.49,3,1.34,3.09,1.36,"USD 0,01",2.63,12.65,150,0,0,0,4.69,0,0,2.25,4.73,0,0,0,0,0,0,0,-128.17,-80.6,-293.55,-271.45,0,"-USD 1,55","-USD 1,82","-USD 1,76","-USD 1,68","USD 0,74","USD 0,62","-USD 1,17","-USD 1,40","-USD 1,68","USD 0,00","USD 0,00","-USD 0,36",0,"-USD 1,32","-USD 1,46","-USD 1,46","USD 1,42","USD 2,09","USD 1,52","USD 1,55","USD 0,00",1.32,1.3,0.5,0,0,0,0
Kopparberg Mineral AB (OM:KMIN B),OM:KMIN B,Metals & Mining,1.0289,1.1625,"USD 3,86","USD 0,50","USD 0,50",11.56,11.7,11.49,13.25,12.98,"USD 0,11",1.49,16.73,149.4,0,0,0,5.82,0,0,1.02,5.82,0,0,0,0,0,0,97,-56.83,-47.25,-338.37,-298.49,0,"-USD 2,12","-USD 1,79","-USD 1,66","-USD 1,58","USD 0,66","USD 0,53","-USD 1,06","-USD 1,01","-USD 1,58","USD 0,01","-USD 0,01","USD 0,87",0,"-USD 2,44","-USD 2,66","-USD 2,65","USD 3,15","USD 3,34","USD 3,78","USD 3,78","USD 0,00",1,0.23,0.5,0,0,0,0
Biotech-IgG AB (publ) (OM:BIGG B),OM:BIGG B,Heathcare Information and Technology,1.0237,1.0237,"USD 3,67","USD 0,00","USD 0,12",3.19,0,0,0,0,"USD 0,05",4.04,3.16,150,0,0,0,9.08,0,0,17.85,8.79,0,0,0,-40.5,38.6,0,0,-105.9,-259.41,-139.87,-138.08,0,"-USD 0,51","-USD 0,63","-USD 0,62","-USD 0,62","USD 0,40","USD 0,45","-USD 0,46","-USD 0,59","-USD 0,62","USD 0,00","-USD 0,09","-USD 0,02",0,"-USD 0,50","-USD 0,51","-USD 0,51","USD 0,59","USD 0,24","USD 0,32","USD 0,20","USD 0,00",1.61,2.85,0.5,0.03,0.04,"-USD 0,53","-USD 0,60"
Oden Control AB (OM:ODEN),OM:ODEN,Machinery,1.014,1.1317,"USD 0,70","USD 0,08","-USD 0,11",-13.74,32.4,10.4,47.93,11.6,"USD 0,12",0.65,17.89,0,0,25.85,0,1.25,0,30.55,2.48,1.59,0,0,0,-1.74,-14.4,0,0,-38.72,-32.8,-24.82,-24.58,0,"USD 0,03","-USD 0,10","-USD 0,10","-USD 0,10","USD 0,56","USD 0,42","USD 0,03","-USD 0,11","-USD 0,10","USD 0,00","USD 0,00","USD 0,01",0,"-USD 0,11","-USD 0,11","-USD 0,11","USD 0,27","USD 0,31","USD 0,17","USD 0,36","USD 0,00",0,-0.01,0.5,0.1,0.09,"-USD 0,10","-USD 0,13"
Jojka Communications AB (publ) (OM:JOJK),OM:JOJK,Computer Software,1.0246,1.0246,"USD 2,35","USD 0,00","USD 0,13",5.4,0,0,0,0,"USD 0,53",7.13,14.49,150,0,0,0,3.42,0,0,10.84,3.23,0,0,0,-32.3,-19.2,0,0,-78.1,-635.9,-62.6,-63.1,0,"-USD 0,24","-USD 0,25","-USD 0,25","-USD 0,25","USD 0,69","USD 0,39","-USD 0,22","-USD 0,26","-USD 0,25","USD 0,00","USD 0,00","-USD 0,04",0,"-USD 0,20","-USD 0,20","-USD 0,20","USD 0,32","USD 0,04","USD 0,33","USD 0,21","USD 0,00",2.64,5.45,0.5,0,0,0,0
