Company Name,Exchange:Ticker,Industry Group,Bottom up Beta for sector,Bottom up levered beta,Market Cap (in US $),Total Debt,Cash,Cash/ Firm Value,Book Debt to capital ratio,Market Debt to capital ratio,Book Debt to Equity Ratio,Market Debt to Equity ratio,"Stock price (Dec 31, 2012)in US$",Beta,Correlation with market,Standard deviation in stock price,Interest coverage ratio,Current PE,PEG,PS,EV/EBIT,EV/EBITDA,EV/Invested Capital,EV/Sales,Dividend Yield,Historical growth in Net Income - Last 3 years,Historical growth in Net Income - Last 5 years,Historical growth in Revenues - Last 3 years,Historical growth in Revenues - Last 5 years,Expected growth rate in EPS- Next 5 years,Expected growth in revenues - Next 2 years,Return on Equity,Return on Capital (ROC or ROIC),Net Profit Margin,Pre-tax Operating Margin,Effective Tax Rate,Net Income,Trailing Net Income,Operating Income,Trailing Operating Income (adj for leases),Revenues,Trailing Revenues,EBITDA,Trailing EBITDA,EBIT (1-t),Net Debt issued (Debt issue - repaid),Change in non-cash Working capital,Net Cap Ex,Reinvestment Rate,FCFF,FCFE,FCFE without debt,Book Value of Equity - 4 qtrs ago,Invested Capital - 4 qtre ago,Current Book Value of Equity,Current Invested Capital,Dividends,Modified 2-year beta,Modified 5-year beta,Beta adjustment factor,Coeff of variation - Op Income,Coeff of variation - Net Income,Average 10-year EBIT,Average 10-yr Net Income
H & M Hennes & Mauritz AB (publ) (OM:HM B),OM:HM B,Retail (Special Lines),0.799,0.8558,"USD 76 355,20","USD 0,00","USD 1 651,50",1.98,54.36,8.44,119.1,9.22,"USD 46,13",1.23,55.77,35.37,4287.67,30.14,3.03,4.21,20.67,21.38,7.23,4.51,3.1,-4.54,2.53,5.27,7.93,9.94,9.07,43.92,36,13.51,21.06,22.88,"USD 2 533,40","USD 2 537,80","USD 3 232,90","USD 3 954,87","USD 18 143,70","USD 18 782,50","USD 3 823,90","USD 3 843,50","USD 3 049,92","USD 0,00","USD 235,40","USD 972,50",39.6,"USD 1 842,02","USD 1 329,90","USD 1 329,90","USD 5 777,80","USD 10 984,74","USD 5 911,00","USD 11 299,64","-USD 2 370,70",0.79,0.27,0.5,0.03,0.04,"USD 2 492,37","USD 1 853,99"
Electrolux AB (OM:ELUX B),OM:ELUX B,Furn/Home Furnishings,0.8669,1.0841,"USD 7 516,40","USD 2 163,10","USD 773,90",7.67,51.93,25.47,108.02,34.18,"USD 26,24",1.8,47.54,47.54,6.66,18.85,1.31,0.44,12.57,7.92,2.74,0.55,3.87,-18.8,1.64,0.76,1.07,14.4,1.85,11.21,20.67,1.95,4.35,26.69,"USD 398,70","USD 332,10","USD 702,60","USD 740,96","USD 16 892,80","USD 17 037,90","USD 1 176,40","USD 1 101,40","USD 543,18","-USD 30,40","USD 65,20","USD 741,00",148.42,"-USD 263,02","-USD 443,70","-USD 474,10","USD 2 962,30","USD 3 584,29","USD 2 378,60","USD 3 394,69","-USD 290,80",0.9,0.89,0.5,0.04,0.05,"USD 658,06","USD 409,53"
"Autoliv, Inc. (NYSE:ALV)",NYSE:ALV,Auto Parts,1.1136,1.1832,"USD 8 803,00","USD 640,10","USD 1 134,70",11.89,15.46,7.73,18.29,8.38,"USD 91,80",3.42,69.79,57.68,24.37,18.22,2.81,1.06,10.13,7.98,4.15,1.02,2.17,3.42,12.1,7.02,3.78,6.49,5.81,14.24,43.01,6.17,9.76,25.37,"USD 483,10","USD 524,80","USD 813,80","USD 829,78","USD 8 266,70","USD 8 503,40","USD 1 053,40","USD 1 093,60","USD 619,24","USD 14,90","USD 69,50","USD 355,40",68.62,"USD 194,34","USD 85,00","USD 99,90","USD 3 685,50","USD 1 929,28","USD 4 032,30","USD 2 026,78","-USD 191,20",1.61,1.91,0.5,0.04,0.05,"USD 569,19","USD 344,93"
Husqvarna AB (OM:HUSQ B),OM:HUSQ B,Furn/Home Furnishings,0.8669,1.1251,"USD 3 451,40","USD 1 063,90","USD 193,70",4.15,40.74,26.09,68.76,35.3,"USD 6,03",1.79,44.27,49.35,3.55,22.08,1.15,0.73,20.22,11.68,2.34,0.95,3.87,-20.2,-16.6,-2.23,-1.49,19.2,1.23,6.12,10.27,2.38,4.73,15.62,"USD 156,30","USD 111,50","USD 195,20","USD 221,42","USD 4 735,50","USD 4 682,10","USD 383,20","USD 321,80","USD 186,83","USD 75,00","-USD 122,70","USD 143,10",10.92,"USD 166,43","USD 16,10","USD 91,10","USD 1 821,00","USD 2 155,01","USD 1 771,90","USD 1 916,81","-USD 133,70",0.87,0.93,0.5,0.04,0.05,"USD 332,23","USD 202,92"
Bilia AB (OM:BILI A),OM:BILI A,Retail (Automotive),0.6413,0.7475,"USD 642,20","USD 137,20","USD 41,90",5.38,35.56,17.6,55.19,21.36,"USD 25,54",1.79,35.5,52.68,12.27,27.56,0.79,0.24,6.36,7.32,2.43,0.27,3.58,-9.43,30.9,3.81,2.28,34.8,1.37,14.44,47.6,1.35,4.3,22.55,"USD 23,30","USD 36,40","USD 53,50","USD 116,00","USD 2 712,50","USD 2 695,10","USD 100,80","USD 107,30","USD 89,84","-USD 13,24","USD 35,64","USD 46,99",91.98,"USD 7,21","-USD 32,99","-USD 46,23","USD 252,10","USD 243,71","USD 248,60","USD 303,40","-USD 23,00",0.75,1.2,0.5,0.06,0.08,"USD 37,58","USD 26,14"
Modern Times Group Mtg AB (OM:MTG B),OM:MTG B,Broadcasting,1.0846,1.1508,"USD 3 458,10","USD 174,50","USD 70,10",1.87,26.81,7.67,36.64,8.31,"USD 51,90",1.86,35.21,54.45,12.98,14.75,4.47,1.69,5.04,13.51,7.09,1.79,3,0,-15.6,4.98,1.66,3.3,7.1,27.37,136.53,8.76,34.29,26.53,"USD 234,40","USD 186,30","USD 203,80","USD 729,62","USD 2 048,10","USD 2 127,60","USD 272,10","USD 229,30","USD 536,02","USD 38,90","-USD 18,89","USD 87,36",12.77,"USD 467,55","USD 78,93","USD 117,83","USD 680,70","USD 534,40","USD 784,40","USD 518,60","-USD 103,70",0.77,1.26,0.5,0.04,0.1,"USD 198,30","USD 136,59"
JM AB (publ) (OM:JM),OM:JM,Homebuilding,1.0371,1.0853,"USD 2 256,30","USD 141,40","USD 249,10",10.39,18.06,5.9,22.04,6.27,"USD 28,27",2.04,47.43,48.96,24.69,15.29,1.08,1.18,9.81,9.7,4.02,1.12,3.71,21.9,-8.73,12.2,-1.78,14.2,2.26,21.73,41.71,7.84,11.56,25.75,"USD 147,60","USD 148,50","USD 219,00","USD 219,00","USD 1 916,70","USD 1 895,00","USD 221,60","USD 220,50","USD 162,61","-USD 2,10","USD 42,66","USD 0,00",26.23,"USD 119,95","USD 107,94","USD 105,84","USD 683,30","USD 525,00","USD 641,70","USD 534,00","-USD 83,60",0.93,1.21,0.5,0.05,0.06,"USD 181,62","USD 125,00"
Nobia AB (OM:NOBI),OM:NOBI,Furn/Home Furnishings,0.8669,0.9473,"USD 1 418,70","USD 131,50","USD 23,20",1.5,22.9,8.48,29.7,9.27,"USD 8,49",2.19,33.62,71.54,10.92,0,0,0.75,7.51,10.35,6.76,0.81,0.92,0,0,-5.7,-5.87,0,-0.19,-12.31,70.33,-3.54,10.92,0,"-USD 83,50","-USD 65,90","USD 103,70","USD 203,40","USD 1 895,60","USD 1 862,00","USD 147,60","USD 166,00","USD 203,40","USD 57,80","-USD 34,39","USD 55,50",10.38,"USD 182,29","-USD 144,81","-USD 87,01","USD 535,40","USD 289,20","USD 442,70","USD 225,80","-USD 13,10",0.96,1.37,0.5,0.05,0.1,"USD 111,85","USD 46,08"
Clas Ohlson AB (publ) (OM:CLAS B),OM:CLAS B,Retail (Building Supply),0.7368,0.7522,"USD 1 186,30","USD 30,90","USD 21,20",1.74,10.55,2.54,11.8,2.6,"USD 18,81",0.38,11.83,34.23,43.8,23.22,4.84,1.18,7.24,12.32,4.4,1.19,3.5,-4.03,-2.08,5.44,6.57,4.8,4.66,21.59,60.7,5.28,16.11,20.09,"USD 51,10","USD 54,10","USD 69,20","USD 165,10","USD 1 004,90","USD 1 024,60","USD 97,10","USD 100,90","USD 131,93","USD 7,40","-USD 3,20","USD 21,77",14.07,"USD 113,37","USD 28,13","USD 35,53","USD 250,60","USD 272,00","USD 261,90","USD 271,60","-USD 41,50",0.16,0.25,0.5,0.02,0.02,"USD 72,13","USD 52,43"
Mekonomen AB (OM:MEKO),OM:MEKO,Retail (Automotive),0.6413,0.901,"USD 1 107,20","USD 302,30","USD 25,20",1.53,61.01,32.78,156.47,48.77,"USD 30,84",0.77,35.64,33.6,8.88,19.22,2.79,1.34,18.48,16.3,1.89,1.96,3.48,7.23,13.4,21.3,17.7,6.9,6.35,18.78,10.06,6.68,9.49,16.97,"USD 57,60","USD 61,80","USD 80,20","USD 87,76","USD 829,20","USD 925,20","USD 99,50","USD 109,90","USD 72,87","-USD 224,20","-USD 19,97","-USD 12,25",-44.22,"USD 105,09","USD 318,22","USD 94,02","USD 329,00","USD 872,59","USD 345,10","USD 859,89","-USD 38,50",0.48,0.19,0.5,0.05,0.06,"USD 44,26","USD 33,20"
KappAhl AB (publ) (OM:KAHL),OM:KAHL,Retail (Special Lines),0.799,1.2273,"USD 441,80","USD 105,30","USD 8,73",1,67.39,49.35,206.66,97.44,"USD 5,89",1.81,24.7,97.88,2.23,32.25,0.88,0.62,13.98,19.06,1.64,1.21,0,-39,-26.9,-2.4,0.55,36.6,2.9,10.48,10.27,1.91,8.62,44.98,"USD 13,70","USD 13,70","USD 26,70","USD 61,77","USD 716,30","USD 716,30","USD 45,30","USD 45,30","USD 33,98","USD 148,20","-USD 3,41","-USD 59,00",-183.65,"USD 96,39","-USD 72,09","USD 76,11","USD 130,70","USD 601,58","USD 208,30","USD 525,14","USD 0,00",0.97,0.78,0.5,0.06,0.09,"USD 52,29","USD 33,76"
CDON Group AB (OM:CDON),OM:CDON,Retail (Internet),1.2231,1.342,"USD 489,80","USD 38,00","USD 25,50",4.74,31.24,8.86,45.44,9.72,"USD 4,92",2.66,29.83,103.91,0,0,0,0.71,0,1584.88,9.3,0.75,0,0,0,30.2,0,0,4.84,-49.82,-1.96,-3.82,-0.15,0,"-USD 23,00","-USD 27,00","-USD 5,31","-USD 1,04","USD 685,20","USD 707,20","USD 0,32","-USD 4,20","-USD 1,04","USD 23,30","USD 41,20","USD 10,24",0,"-USD 52,48","-USD 101,74","-USD 78,44","USD 54,20","USD 53,35","USD 104,80","USD 55,02","USD 0,00",1.24,1.51,0.5,0,0,0,0
Duni AB (publ) (OM:DUNI),OM:DUNI,Household Products,0.7646,0.8589,"USD 609,40","USD 94,00","USD 23,50",3.23,27.67,16.33,38.25,19.52,"USD 12,97",1.05,28.46,41.9,40.14,32.07,0,1.08,10.94,10.5,3.38,1.25,4.18,-23.2,-8.66,-2.53,-1.76,0,1.15,7.18,26.29,3.89,11.09,36.8,"USD 19,00","USD 22,60","USD 56,20","USD 64,41","USD 563,50","USD 581,00","USD 67,10","USD 72,40","USD 40,71","USD 18,60","-USD 14,50","USD 19,15",11.42,"USD 36,06","-USD 0,65","USD 17,95","USD 314,70","USD 244,96","USD 311,00","USD 208,76","-USD 25,50",0.48,0.63,0.5,0.04,0.11,"USD 45,69","USD 18,68"
Eniro AB (OM:ENRO),OM:ENRO,Publshing & Newspapers,0.7712,1.0396,"USD 773,70","USD 423,70","USD 14,20",1.15,43.78,37.23,77.88,59.31,"USD 7,72",3.45,36.06,109.55,3.72,20.58,0,1.26,10.02,8.19,1.18,1.98,0,0,0,-13.8,-10.8,0,-6.75,9.37,12.27,8.39,20.95,41.3,"USD 37,60","USD 48,70","USD 108,20","USD 121,57","USD 614,20","USD 580,20","USD 148,70","USD 144,60","USD 71,36","USD 58,80","-USD 26,14","USD 25,03",-1.56,"USD 72,47","-USD 8,99","USD 49,81","USD 519,70","USD 990,96","USD 589,20","USD 1 033,86","USD 0,00",1.58,2.02,0.5,0.05,0.17,"USD 152,20","-USD 1,73"
Byggmax Group AB (publ) (OM:BMAX),OM:BMAX,Retail (Building Supply),0.7368,0.9502,"USD 457,90","USD 52,30","USD 6,40",1.03,52.6,26.3,110.99,35.68,"USD 7,54",1.63,35.5,58.88,38.71,16.59,0,0.96,17.93,13.45,2.02,1.3,4.13,4.65,0,5.02,0,0,7.02,22.73,11.81,6.14,6.94,18.82,"USD 27,60","USD 30,30","USD 39,10","USD 34,28","USD 474,60","USD 493,70","USD 45,70","USD 46,60","USD 27,83","USD 5,40","USD 8,84","USD 7,52",58.78,"USD 11,47","USD 8,54","USD 13,94","USD 133,30","USD 290,18","USD 147,20","USD 304,18","-USD 18,90",0.84,0.77,0.5,0,0,0,0
FinnvedenBulten AB (publ) (OM:FBAB),OM:FBAB,Auto Parts,1.1136,1.3687,"USD 164,70","USD 49,20","USD 13,10",6.12,23.25,23,30.3,29.87,"USD 7,83",1.59,34.64,58.53,8.62,25.53,0,0.36,6.78,7.36,1.01,0.44,3.98,0,0,0,0,0,9.99,4.24,15,1.49,6.52,23.3,"USD 6,45","USD 6,74","USD 16,90","USD 29,60","USD 455,10","USD 453,70","USD 27,30","USD 29,00","USD 22,70","USD 3,81","-USD 0,53","USD 17,76",75.89,"USD 5,47","-USD 14,30","-USD 10,49","USD 158,80","USD 197,29","USD 162,40","USD 198,50","-USD 6,55",0.81,0.77,0.5,0,0,0,0
RNB Retail and Brands AB (publ) (OM:RNBS),OM:RNBS,Retail (Special Lines),0.799,1.4244,"USD 70,00","USD 54,80","USD 0,00",0,40.56,43.91,68.24,78.29,"USD 2,06",0.9,3.16,150,0,0,0,0.18,0,0,2.01,0.32,0,0,0,-4.99,-5.3,0,0,-83.33,-32.07,-20,-9.01,0,"-USD 79,00","-USD 79,00","-USD 35,60","-USD 35,60","USD 395,00","USD 395,00","-USD 12,00","-USD 12,00","-USD 35,60","USD 35,40","-USD 6,66","-USD 12,10",0,"-USD 16,84","-USD 95,64","-USD 60,24","USD 94,80","USD 111,02","USD 80,30","USD 62,20","USD 0,00",0.22,0.92,0.5,0.14,0.14,"USD 2,28","-USD 17,46"
Fenix Outdoor AB (OM:FIX B),OM:FIX B,Recreation,0.8585,0.8657,"USD 589,20","USD 6,99","USD 2,10",0.35,4.42,1.17,4.63,1.19,"USD 44,39",1.1,31.94,40.78,33.31,24.76,0,2.25,12.15,14.78,4.23,2.27,1.4,6.74,10.8,13,13.6,0,7.82,21.85,40.97,9.98,17.63,29.37,"USD 23,80","USD 27,70","USD 40,30","USD 48,91","USD 262,00","USD 277,50","USD 40,20","USD 45,40","USD 34,55","USD 0,77","USD 20,20","USD 4,12",70.4,"USD 10,23","USD 2,61","USD 3,38","USD 126,80","USD 119,37","USD 151,10","USD 140,59","-USD 8,27",0.52,0.6,0.5,0.06,0.06,"USD 20,11","USD 13,50"
SkiStar AB (publ) (OM:SKIS B),OM:SKIS B,Recreation,0.8585,1.3596,"USD 483,70","USD 321,20","USD 4,58",0.57,62.55,39.91,167.03,66.4,"USD 12,34",0.44,13.78,38.81,3.11,23.48,0,1.93,22.45,12.83,1.57,3.19,3.1,-23.3,-4.13,-0.49,2.31,0,4.26,11.96,6.67,8.7,13.97,12.1,"USD 20,60","USD 22,20","USD 31,40","USD 35,65","USD 251,10","USD 255,20","USD 62,40","USD 62,90","USD 31,34","USD 25,90","USD 2,30","-USD 7,65",-17.06,"USD 36,68","USD 1,65","USD 27,55","USD 185,60","USD 534,09","USD 192,30","USD 508,92","-USD 15,00",0.21,0.23,0.5,0.04,0.03,"USD 29,91","USD 28,89"
MQ Holding AB (OM:MQ),OM:MQ,Retail (Special Lines),0.799,1.1277,"USD 125,90","USD 51,80","USD 4,43",2.49,27.52,29.15,37.98,41.14,"USD 3,58",0.67,12.65,59.1,4.97,13.45,0.97,0.57,3.88,13.33,0.94,0.79,3.65,-6.57,0,0.51,0,13.9,4.34,8.86,25.17,5.03,19.9,0,"USD 9,36","USD 11,30","USD 9,89","USD 44,69","USD 220,50","USD 224,60","USD 13,00","USD 15,20","USD 44,69","USD 2,90","USD 8,81","-USD 3,81",11.2,"USD 39,69","USD 3,40","USD 6,30","USD 127,50","USD 177,55","USD 136,40","USD 183,77","-USD 4,60",0.3,0.41,0.5,0,0,0,0
Swedol AB (OM:SWOL B),OM:SWOL B,Retail (Building Supply),0.7368,0.8439,"USD 213,30","USD 31,00","USD 0,72",0.29,30.19,12.69,43.24,14.53,"USD 3,33",0.89,13.42,65.4,8.35,28.86,0,1.02,33.72,17.65,2.39,1.16,1.64,-37.6,-21.7,8.38,10.6,0,4.92,4.26,7.49,1.43,3.42,0,"USD 7,39","USD 3,02","USD 6,24","USD 7,22","USD 209,90","USD 211,30","USD 13,80","USD 10,40","USD 7,22","-USD 3,27","USD 1,35","USD 4,53",81.46,"USD 1,34","USD 0,41","-USD 2,86","USD 70,90","USD 96,42","USD 71,70","USD 101,98","-USD 3,49",0.35,0.64,0.5,0.05,0.05,"USD 11,43","USD 8,37"
Kabe Husvagnar AB (OM:KABE B),OM:KABE B,Recreation,0.8585,0.8883,"USD 162,60","USD 6,68","USD 27,80",16.42,6.42,3.95,6.87,4.11,"USD 18,07",0.62,10.95,35.6,19.43,11.45,0,0.81,9.38,6.87,1.86,0.71,3.44,-4.07,4.3,-2.4,-1.92,0,0,14.29,24.77,6.3,7.54,15.64,"USD 14,20","USD 12,60","USD 15,00","USD 15,08","USD 199,70","USD 200,10","USD 20,60","USD 17,60","USD 12,72","USD 0,12","USD 15,94","USD 2,15",142.22,"-USD 5,37","-USD 5,61","-USD 5,49","USD 88,20","USD 60,88","USD 97,30","USD 76,18","-USD 5,60",0.16,0.62,0.5,0.03,0.04,"USD 14,31","USD 10,21"
Hemtex AB (OM:HEMX),OM:HEMX,Retail (Special Lines),0.799,1.2192,"USD 55,70","USD 29,30","USD 2,82",3.32,46.51,34.47,86.94,52.6,"USD 0,58",0.46,0,0,0,0,0,0.38,4.01,0,3.84,0.57,0,0,0,-7.96,0,0,3.15,-13.46,0,-3.42,13.72,0,"-USD 8,03","-USD 5,10","-USD 4,02","USD 20,48","USD 144,80","USD 149,30","-USD 3,85","-USD 1,43","USD 20,48","-USD 0,58","-USD 0,50","USD 2,09",7.74,"USD 18,89","-USD 6,11","-USD 6,69","USD 37,90","-USD 4,09","USD 33,70","USD 21,38","USD 0,00",0.04,0.62,0.5,0,0,0,0
2E Group AB (publ) (OM:2E),OM:2E,Entertainment,0.8742,0.8742,"USD 25,00","USD 0,00","USD 3,49",13.96,0,0,0,0,"USD 1,90",1.38,36.88,62.57,11.3,26.97,0,0.18,9.91,6.83,8.93,0.15,5.4,0,-1.88,8.23,14.8,0,1.05,4.48,82.2,0.6,1.67,50,"USD 0,93","USD 0,78","USD 2,17","USD 2,17","USD 142,20","USD 129,70","USD 3,15","USD 3,48","USD 1,09","USD 0,20","USD 0,00","USD 1,43",131.8,"-USD 0,35","-USD 0,85","-USD 0,65","USD 17,50","USD 2,64","USD 17,30","USD 2,41","-USD 1,35",0.92,0.21,0.5,0.08,0.07,"USD 2,72","USD 1,52"
Venue Retail Group AB (OM:VRG B),OM:VRG B,Retail (Special Lines),0.799,1.0295,"USD 42,40","USD 14,10","USD 4,63",8.19,27.12,24.96,37.2,33.25,"USD 5,22",0.75,20.74,53.89,10.3,12.01,0,0.33,2.39,7.52,1.61,0.41,4.34,0,0,0.81,-1.02,0,13,9.29,88.92,2.77,17.01,13.24,"USD 3,53","USD 3,53","USD 4,46","USD 21,66","USD 127,30","USD 127,30","USD 6,90","USD 6,90","USD 18,79","-USD 5,34","USD 6,85","USD 2,89",51.83,"USD 9,05","-USD 0,87","-USD 6,21","USD 38,00","USD 24,36","USD 37,90","USD 32,27","-USD 1,84",0.45,0.23,0.5,0.12,0.11,"-USD 6,87","-USD 10,23"
Nordic Service Partners Holding AB (OM:NSP B),OM:NSP B,Restaurant,0.642,1.1116,"USD 21,40","USD 31,30","USD 4,86",9.22,61.13,59.39,157.29,146.26,"USD 1,84",0.54,7.75,66.16,2.15,57.84,0,0.19,3.21,6.08,3.04,0.43,0,-29.1,0,6.74,4.56,0,11.6,2.93,108.2,0.42,12.17,50,"USD 0,37","USD 0,52","USD 3,61","USD 14,91","USD 111,70","USD 122,50","USD 7,87","USD 9,08","USD 7,46","-USD 0,20","USD 0,09","-USD 0,26",-2.27,"USD 7,62","USD 0,89","USD 0,69","USD 17,70","USD 13,78","USD 19,90","USD 15,74","USD 0,00",0.21,0.41,0.5,0,0,0,0
Rasta Group AB (OM:RAST),OM:RAST,Restaurant,0.642,1.2711,"USD 46,90","USD 49,20","USD 5,67",5.9,55.85,51.2,126.48,104.9,"USD 0,08",0.87,9.49,85.12,2.86,13.88,0,0.55,4.06,9.85,1.1,1.07,2.08,37,14.6,13,11.8,0,0,12.74,27.62,4.78,24.36,6.6,"USD 3,38","USD 4,37","USD 6,69","USD 22,29","USD 84,60","USD 91,50","USD 9,18","USD 10,30","USD 20,82","USD 1,73","-USD 0,30","-USD 1,99",-11,"USD 23,11","USD 4,93","USD 6,66","USD 34,30","USD 80,69","USD 38,90","USD 82,43","-USD 0,98",0.32,0.66,0.5,0.08,0.08,"USD 2,73","USD 1,73"
Götenehus Group AB (OM:GHUS B),OM:GHUS B,Homebuilding,1.0371,1.0466,"USD 20,30","USD 0,19","USD 4,78",23.33,1.11,0.91,1.13,0.92,"USD 0,23",1.13,8.94,150,0,0,0,0.24,0,0,1.31,0.19,0,0,0,-5.09,-10.8,0,0,-56.24,-1.52,-8.13,-1.1,0,"-USD 7,62","-USD 7,48","-USD 1,70","-USD 1,01","USD 83,10","USD 92,00","-USD 0,67","-USD 0,71","-USD 1,01","USD 11,46","-USD 2,86","-USD 1,65",0,"USD 3,50","-USD 14,43","-USD 2,97","USD 13,30","USD 66,33","USD 16,60","USD 12,01","USD 0,00",0.61,0.48,0.5,0,0,0,0
Bjorn Borg AB (OM:BORG),OM:BORG,Apparel,0.8237,0.9864,"USD 119,10","USD 34,00","USD 6,92",4.52,42.71,22.21,74.56,28.55,"USD 4,73",0.79,12.65,52.57,8.88,14.65,0,1.41,14.33,12.71,2.09,1.73,9.82,-20.8,-16.6,0.96,0.09,0,0.12,12.88,15.44,8.02,12.19,30.8,"USD 8,13","USD 6,71","USD 7,59","USD 10,20","USD 84,70","USD 83,70","USD 11,50","USD 8,36","USD 7,06","-USD 0,35","USD 4,71","USD 1,95",94.3,"USD 0,40","USD 0,40","USD 0,05","USD 52,10","USD 66,08","USD 45,60","USD 69,80","-USD 11,70",0.27,0.65,0.5,0.06,0.06,"USD 11,50","USD 9,09"
Cherry AB (publ). (OM:CHER B),OM:CHER B,Hotel/Gaming,0.7409,0.7441,"USD 62,20","USD 0,20","USD 14,90",23.83,1.11,0.52,1.12,0.52,"USD 4,86",0.89,14.83,76.18,0,13.32,0,1.01,31.91,7.55,3.28,0.78,35.85,-7.9,0,8.2,13.1,0,-19.7,3.76,3.42,2.74,2.26,15.23,"USD 4,67","USD 1,81","USD 1,44","USD 1,49","USD 61,40","USD 66,00","USD 6,31","USD 2,75","USD 1,27","USD 1,05","USD 1,82","-USD 31,98",-2383.9,"USD 31,42","USD 30,92","USD 31,97","USD 48,20","USD 43,62","USD 29,10","USD 14,53","-USD 22,30",0.45,0.43,0.5,0.14,0.14,"USD 1,46","USD 1,68"
Unlimited Travel Group UTG AB (publ) (OM:UTG),OM:UTG,Hotel/Gaming,0.7409,0.7409,"USD 6,77","USD 0,00","USD 5,44",80.35,0,0,0,0,"USD 1,55",0.8,12.25,84.51,0,0,0,0.1,0,1.55,0,0.02,0,0,0,11.8,0,0,0,-13.61,0,-1.02,-0.17,0,"-USD 1,01","-USD 0,65","-USD 0,11","-USD 0,11","USD 69,40","USD 63,40","USD 0,86","USD 1,22","-USD 0,11","USD 0,00","-USD 0,45","-USD 1,16",0,"USD 1,51","USD 0,96","USD 0,96","USD 4,76","-USD 1,05","USD 4,75","-USD 0,69","USD 0,00",0.41,0.37,0.5,0,0,0,0
Mr Green & Co AB (publ) (OM:MRG),OM:MRG,Hotel/Gaming,0.7409,0.7409,"USD 198,20","USD 0,00","USD 11,20",5.65,0,0,0,0,"USD 5,53",0,0,0,4665,42.62,0,4.05,20.04,25.9,623.33,3.82,0,0,0,0,0,0,0,0,0,15.52,17.12,9.32,"USD 4,65","USD 8,46","USD 9,33","USD 9,33","USD 48,90","USD 54,50","USD 7,22","USD 11,70","USD 8,46","USD 0,00","USD 0,00","-USD 2,32",-27.42,"USD 10,78","USD 10,78","USD 10,78","USD 0,00","USD 0,00","USD 116,10","USD 0,30","USD 0,00",0,0,0.5,0,0,0,0
Sportamore AB (publ) (OM:SPOR),OM:SPOR,Retail (Internet),1.2231,1.2231,"USD 49,30","USD 0,00","USD 4,27",8.66,0,0,0,0,"USD 6,78",0.88,5.48,76.22,0,0,0,2.1,0,0,9.73,1.92,0,0,0,0,0,0,65.3,-163.1,-480.41,-10.99,-11.15,0,"-USD 2,29","-USD 4,11","-USD 4,17","-USD 4,17","USD 23,50","USD 37,40","-USD 2,24","-USD 3,99","-USD 4,17","USD 0,00","USD 1,79","USD 0,06",0,"-USD 6,01","-USD 5,95","-USD 5,95","USD 2,52","USD 0,87","USD 8,90","USD 4,63","USD 0,00",0.17,0,0.5,0,0,0,0
Odd Molly International AB (OM:ODD),OM:ODD,Apparel,0.8237,0.8237,"USD 33,20","USD 0,00","USD 5,62",16.93,0,0,0,0,"USD 5,78",0.89,13.42,87.21,0,72.17,0,0.97,0,32.91,3.04,0.8,4.04,0,0,-15.2,-2.71,0,0,-9.83,-2.27,-5.06,-0.54,0,"USD 0,46","-USD 1,70","-USD 1,38","-USD 0,18","USD 34,40","USD 33,60","USD 0,84","-USD 1,10","-USD 0,18","USD 0,00","USD 2,18","USD 0,13",0,"-USD 2,49","-USD 4,01","-USD 4,01","USD 17,30","USD 7,92","USD 14,70","USD 9,08","-USD 1,34",0.47,0.4,0.5,0,0,0,0
Zinzino AB (OM:ZZ B),OM:ZZ B,Retail (Distributors),0.5693,0.5693,"USD 27,00","USD 0,00","USD 0,27",0.99,0,0,0,0,"USD 1,00",-0.39,4.47,0,134,38.24,0,1,19.73,29.97,13.97,0.99,0,0,0,60.7,0,0,0,142.69,0,3.64,4.08,3.94,"USD 0,71","USD 1,21","USD 1,34","USD 1,36","USD 27,10","USD 33,20","USD 0,89","USD 1,42","USD 1,30","USD 0,00","USD 0,00","-USD 0,08",-6.45,"USD 1,39","USD 1,29","USD 1,29","USD 0,85","-USD 0,30","USD 2,18","USD 1,91","USD 0,00",-0.31,0.03,0.5,0,0,0,0
Nordkom AB (publ) (OM:NORDK),OM:NORDK,Advertising,0.8911,0.9214,"USD 15,10","USD 0,58","USD 0,47",2.98,5.56,3.72,5.89,3.87,"USD 1,64",1.4,27.39,58.52,20,17.95,0,0.59,10.14,9.33,7.62,0.59,4.77,4.26,16.1,19.5,14.1,0,5.4,15.78,217.39,5.38,5.68,12.1,"USD 0,84","USD 1,42","USD 1,50","USD 1,50","USD 25,60","USD 26,40","USD 1,63","USD 2,26","USD 1,32","USD 0,47","-USD 1,14","USD 0,94",-14.87,"USD 1,51","USD 1,15","USD 1,62","USD 9,00","USD 0,69","USD 9,92","USD 2,00","-USD 0,72",0.64,0.82,0.5,0,0,0,0
